m, repeat_after, max_value
767, 59525987, 10654
768, 634715967, 10900
769, 397925676, 11030
770, 207120364, 10594
771, 38310829, 10636
772, 520155619, 11002
773, 1506238986, 11127
774, 812112803, 11304
775, 51188691, 10946
776, 250863119, 11236
777, 182014563, 10784
778, 366337791, 10902
779, 751162744, 11338
780, 409838341, 11198
781, 89721595, 10694
782, 538001459, 11146
783, 260447747, 11432
784, 837420651, 11282
785, 427009398, 10886
786, 306752580, 11344
787, 753683605, 11278
788, 3746333446, 11638
789, 362362964, 11237
790, 110233710, 10804
791, 40647127, 10833
792, 626556091, 11420
793, 944820642, 11578
794, 712557941, 11276
795, 673697438, 11302
796, 1622633200, 11806
797, 11194327, 10742
798, 2795823358, 11642
799, 315621904, 11878
800, 354591954, 11208
801, 1562764608, 11762
802, 1625760824, 11626
803, 1923699127, 11538
804, 311685924, 11498
805, 411895979, 11406
806, 789315258, 12594
807, 1446718856, 11836
808, 2536447881, 12314
809, 538421019, 11522
810, 2273893331, 12526
811, 233776872, 11342
812, 15103910, 10876
813, 540120580, 11510
814, 705840727, 12098
815, 1109372241, 11902
816, 848641476, 11654
817, 1569518205, 12092
818, 265715233, 12092
819, 1081162454, 12100
820, 302590139, 11752
821, 188315562, 11710
822, 1649413730, 12149
823, 287967223, 11642
824, 31738897, 11294
825, 2246403521, 11988
826, 660892977, 11674
827, 202769, 10334
828, 1738555692, 12125
829, 1038814296, 12231
830, 90842388, 11334
831, 762119070, 11758
832, 739447222, 12020
833, 251346930, 12182
834, 29409707, 11482
835, 496331027, 11950
836, 1081883161, 12178
837, 1007410631, 12046
838, 86912233, 11878
839, 301994829, 12138
840, 1116675198, 12111
841, 1728840599, 12266
842, 2068468717, 12434
843, 261661222, 12034
844, 1007246571, 12552
845, 882700902, 11974
846, 679284615, 12178
847, 1447493796, 12214
848, 2099384779, 12594
849, 1611217928, 12686
850, 2519391658, 12436
851, 2426233649, 12754
852, 1449707146, 12366
853, 3265273547, 12704
854, 2067907400, 12332
855, 506969177, 12526
856, 566215792, 12916
857, 463312721, 12215
858, 1018256817, 12482
859, 4185338551, 12944
860, 708006778, 13142
861, 713528822, 12338
862, 3606073802, 13058
863, 6743781109, 13194
864, 5338861566, 12946
865, 789517237, 12592
866, 1530323374, 13033
867, 1497309783, 13012
868, 10955661, 11533
869, 2189722163, 13088
870, 1365148687, 13016
871, 242895369, 12688
872, 638356126, 13015
873, 214798949, 13019
874, 1561827782, 12686
875, 569231510, 13194
876, 879115943, 13114
877, 5028552622, 13190
878, 1247000082, 12916
879, 5076011370, 13326
880, 2257697643, 13100
881, 4561517154, 13326
882, 276565413, 12438
883, 245508892, 12334
884, 2000323053, 13015
885, 3042219114, 13588
886, 2667584445, 13142
887, 993669168, 13226
888, 1273279233, 13228
889, 884085532, 12858
890, 1982439794, 13548
891, 3423289717, 13258
892, 34939003, 11894
893, 438176573, 12748
894, 1301208963, 13022
895, 5809654267, 13254
896, 1774269676, 13382
897, 647705991, 13007
898, 427332043, 13564
899, 1417350832, 13465
900, 821810648, 13058
901, 5866725007, 13472
902, 1793509731, 13132
903, 580301160, 13768
904, 394179727, 12830
905, 1129165559, 13384
906, None, None
907, 193186365, 12686
908, 1222517078, 13574
909, 5235959480, 13574
910, 908602676, 13196
911, 2770298153, 13264
912, 1044691740, 13492
913, 649789358, 12892
914, 324395092, 13732
915, 4558399773, 13698
916, 2087143234, 13544
917, 3411399347, 13618
