m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
360, 1191342, 4622, 2374, 724, 2374, 2350, 10
361, 197623, 4327, 2042, 362, 2042, 2028, 4
362, 1579649, 4927, 2374, 363, 2374, 2366, 3
363, 1078182, 4568, 2634, 728, 2638, 2624, 4
364, 1942900, 5195, 2042, 365, 2042, 2028, 4
365, 1256139, 5178, 2634, 732, 2638, 2624, 4
366, 645190, 5226, 2634, 734, 2638, 2624, 4
367, 1373836, 5378, 2374, 368, 2374, 2366, 3
368, 348077, 4619, 2634, 738, 2638, 2624, 4
369, 3015159, 5358, 2634, 740, 2638, 2624, 4
370, 332538, 4892, 2042, 371, 2042, 2028, 4
371, 928692, 4678, 2042, 372, 2042, 2028, 4
372, 171069, 4685, 2634, 374, 2642, 2618, 8
373, 475857, 4534, 2374, 750, 2374, 2350, 10
374, 972343, 4834, 2634, 376, 2642, 2616, 7
375, 697277, 4506, 2634, 752, 2638, 2624, 5
376, 1698101, 5223, 2634, 754, 2638, 2624, 4
377, 996313, 4826, 2634, 379, 2642, 2618, 8
378, 866214, 5036, 2042, 379, 2042, 2028, 4
379, 187650, 5262, 2634, 760, 2638, 2624, 4
380, 212376, 4923, 2634, 762, 2638, 2624, 4
381, 1156790, 5392, 2634, 764, 2638, 2624, 4
382, 500736, 4442, 2042, 383, 2042, 2028, 4
383, 1658443, 5290, 2634, 768, 2638, 2624, 4
384, 1758494, 5348, 2634, 770, 2638, 2624, 4
385, 992055, 5132, 2634, 387, 2642, 2618, 8
386, 1711008, 5608, 2374, 776, 2374, 2350, 10
387, 732818, 4334, 2634, 389, 2642, 2618, 8
388, 147898, 4356, 2042, 389, 2042, 2028, 4
389, 581406, 5239, 2634, 780, 2638, 2624, 4
390, 778368, 5254, 2634, 782, 2638, 2624, 4
391, 1850451, 5654, 2042, 392, 2042, 2028, 4
392, 375775, 4701, 2374, 788, 2374, 2350, 10
393, 321425, 5290, 2042, 394, 2042, 2028, 4
394, 2021730, 5458, 2634, 790, 2638, 2624, 4
395, 1113706, 5462, 2042, 396, 2042, 2028, 4
396, 1320043, 4882, 2374, 397, 2374, 2366, 3
