m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
25,1336,3635759983385168331,0,333,178,27,150,166,5,150;156;158;164;166
16,618,921272363609586825,0,181,118,17,114,118,3,114;116;118
16,619,8910482237814205515,0,298,225,17,112,118,4,112;114;116;118
16,620,11774592369337476062,0,141,281,17,112,118,4,112;114;116;118
16,621,13152685151142310366,0,218,258,17,112,118,3,112;114;118
25,1337,6973031924691946703,0,1999,244,27,150,166,5,150;156;158;164;166
16,622,5847151705431050705,0,138,175,17,112,118,3,112;114;118
49,623,749810753278950162,0,7203,623,50,350,358,4,350;354;356;358
16,623,15774258753415000305,0,813,149,17,112,118,4,112;114;116;118
16,624,16440001204977307181,0,169,118,17,112,118,3,112;114;118
16,625,13722555309727999604,0,235,155,17,112,118,4,112;114;116;118
25,1338,14586646239538270945,0,2455,284,52,172,178,4,172;174;176;178
16,626,16800053727159506490,0,114,152,17,112,118,3,112;114;118
16,627,5866427514497716151,0,116,154,34,76,82,4,76;78;80;82
25,1339,16029161582160986051,0,375,425,26,180,194,3,180;190;194
16,628,8555167223733548283,0,86,199,17,112,118,4,112;114;116;118
16,629,15823015274807464483,0,312,147,17,112,118,3,112;114;118
25,294,3739149559577123301,0,4305,258,26,112,118,3,112;114;118
25,1340,9208747354645746107,0,1439,376,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,630,2893703708852373804,0,512,148,17,112,118,4,112;114;116;118
16,631,12662659108796836307,0,518,155,34,76,82,4,76;78;80;82
49,1117,16743040701843043636,0,3012,1016,50,350,358,4,350;354;356;358
25,295,3049904939349985211,0,616,356,52,172,178,4,172;174;176;178
16,632,2733414152643849736,0,188,141,17,112,118,4,112;114;116;118
25,1341,4927656382559488036,0,1462,366,27,150,166,5,150;156;158;164;166
16,633,15868209583075995903,0,140,159,17,112,118,4,112;114;116;118
16,634,10680244471900211590,0,96,131,17,112,118,4,112;114;116;118
49,328,8246757530282305010,0,4577,1137,50,300,314,4,300;306;310;314
16,635,7370276678023516324,0,284,155,34,76,82,4,76;78;80;82
16,636,9968294579482369055,0,149,174,17,112,118,4,112;114;116;118
125,43,8904972244016673509,0,37162,2497,127,816,842,8,816;822;824;828;832;834;838;842
25,296,6923069147103687416,0,1578,317,26,112,118,3,112;114;118
49,329,3311403878202081492,0,1283,974,50,300,314,4,300;306;310;314
16,637,5536212714978920314,0,612,147,287,66,82,8,66;68;70;72;74;76;78;82
16,638,12007016072745349279,0,94,118,17,112,118,4,112;114;116;118
49,1118,15196392529565416940,0,3634,903,50,300,314,4,300;306;310;314
49,791,4779975406642727187,0,5116,879,50,300,314,4,300;306;310;314
