m,realised_K,n_admissible,pos_index,min_admissible_K,max_admissible_K
661,5162,321,52,2738,16376
662,5162,311,46,2738,16376
663,5162,318,45,2738,16452
664,5162,310,49,2738,16376
665,5162,309,44,2738,16472
667,3066,331,8,1621,16376
671,5906,323,66,2738,16376
672,5162,309,44,2738,16408
675,5162,316,44,2738,16472
676,5162,324,50,2738,16452
677,5162,330,45,2738,16376
678,5162,307,45,2738,16408
679,5162,328,48,2738,16376
682,5162,323,51,1791,16376
683,3066,334,7,2738,16376
685,5906,328,65,2766,16472
686,5906,306,63,1621,16376
687,5162,329,44,1453,16408
688,5162,324,47,2766,16376
689,5162,320,47,2766,16452
690,5162,306,44,2766,16472
691,5162,335,49,2882,16376
692,2922,318,1,2882,16376
693,5906,326,63,2882,16408
694,3066,317,6,1453,16376
696,5162,309,44,2882,16408
697,5162,350,47,2862,16376
698,5906,323,65,2882,16376
699,5906,333,63,2882,16408
700,5162,314,45,2882,16472
703,5906,347,67,2882,16376
706,5906,326,65,2882,16376
707,5794,337,56,1791,16376
708,5794,325,60,1453,16408
710,5794,312,54,2882,16472
711,5906,340,63,2862,16408
712,5906,336,63,2882,16376
715,5906,344,65,1453,16472
718,5794,340,62,2882,16376
720,5906,317,55,2922,16472
721,5906,342,65,1951,16376
722,5794,322,54,1453,16376
726,5810,316,54,2922,16408
727,5906,348,60,2922,16376
729,5906,330,59,2922,16408
730,5906,322,57,2978,16472
731,5906,336,57,2978,16376
732,5906,327,56,1791,16408
734,5906,320,57,1951,16376
735,5906,319,51,2978,16472
736,5162,327,42,2978,16376
755,6064,324,52,3050,16472
756,6064,309,54,3050,16408
767,6242,337,59,3157,16452
772,6242,320,60,3162,16376
773,6242,325,59,1951,16376
774,6242,310,58,3162,16408
776,6242,310,58,3162,16376
777,5162,320,29,3162,16408
778,6242,317,63,3162,16376
779,6242,322,57,3162,16376
780,6242,295,55,3162,16472
781,6222,334,61,1621,16376
782,6242,310,57,1791,16376
783,6242,323,54,3162,16408
784,6242,310,61,3157,16376
785,6222,317,56,3162,16472
786,6242,308,58,1951,16408
787,5162,334,32,3162,16376
788,6242,316,58,3162,16376
789,6242,318,56,3162,16408
790,6242,310,57,3242,16472
792,6242,310,53,3242,16408
793,6242,333,57,3242,16452
794,6242,302,56,3222,16376
795,6242,320,52,3242,16472
796,6242,313,59,3242,16376
797,6242,329,52,3242,16376
798,6242,303,54,3242,16408
799,5162,331,33,1951,16376
800,6242,303,54,1621,16472
801,6242,313,55,3222,16408
803,6242,327,55,3242,16376
804,6242,299,53,3242,16408
805,6242,316,54,3242,16472
806,6242,304,56,3242,16452
807,6242,330,52,1791,16408
808,6242,320,60,3242,16376
809,6242,329,54,3242,16376
810,6242,295,53,3373,16472
811,6242,329,56,3258,16376
812,6242,312,52,1951,16376
813,6222,322,52,3373,16408
814,6242,315,56,3373,16376
815,6242,315,51,3342,16472
816,6242,310,53,3373,16408
817,6242,333,57,3373,16376
818,6242,317,53,3373,16376
819,6138,315,46,3373,16452
820,6222,311,55,3373,16472
821,6242,324,51,3373,16376
822,6222,310,49,3373,16408
823,6222,338,56,3373,16376
824,6242,311,54,3373,16376
825,6242,317,50,1951,16472
826,6222,307,54,3373,16376
827,5162,330,27,3373,16376
828,6222,308,52,3342,16408
829,6222,324,53,3373,16376
830,6242,309,53,3373,16472
831,6242,318,52,3373,16408
832,6242,315,54,1791,16376
833,6242,320,50,3373,16376
834,6242,299,51,3373,16408
835,6242,322,53,3373,16472
836,6242,306,53,3373,16376
