m,x,q
1296,181440,140
1297,10376,8
1297,15564,12
1298,51920,40
1298,62304,48
1299,31176,24
1300,124800,96
1301,10408,8
1301,15612,12
1302,83328,64
1302,156240,120
1303,10424,8
1303,15636,12
1304,20864,16
1304,46944,36
1305,125280,96
1306,23508,18
1307,10456,8
1307,15684,12
1308,41856,32
1308,78480,60
1309,104720,80
1309,125664,96
1310,62880,48
1311,104880,80
1313,47268,36
1314,63072,48
1315,47340,36
1316,42112,32
1316,94752,72
1317,31608,24
1318,23724,18
1319,10552,8
1319,15828,12
1320,221760,168
1321,10568,8
1321,15852,12
1322,23796,18
1323,95256,72
1323,158760,120
1324,26480,20
1324,31776,24
1325,95400,72
1326,84864,64
1326,159120,120
1327,10616,8
1327,15924,12
1328,37184,28
1329,31896,24
1330,85120,64
1330,159600,120
1330,191520,144
1331,47916,36
1333,47988,36
1334,53360,40
1334,64032,48
1336,21376,16
1336,48096,36
1337,48132,36
1338,53520,40
1339,48204,36
1340,42880,32
1340,80400,60
1340,96480,72
1342,53680,40
1342,64416,48
1343,48348,36
1344,161280,120
1345,48420,36
1346,24228,18
1347,32328,24
1348,26960,20
1348,32352,24
1349,48564,36
1351,48636,36
1352,64896,48
1352,121680,90
1353,108240,80
1354,24372,18
1355,48780,36
1356,43392,32
1356,81360,60
1357,48852,36
1358,54320,40
1358,65184,48
1361,10888,8
1361,16332,12
1362,54480,40
1363,49068,36
1364,43648,32
1364,98208,72
1365,174720,128
1366,24588,18
1367,10936,8
1367,16404,12
1369,12321,9
1369,24642,18
1369,32856,24
1370,65760,48
1371,32904,24
1372,43904,32
1372,98784,72
1373,10984,8
1373,16476,12
1374,54960,40
1375,55000,40
1375,82500,60
1375,132000,96
1378,55120,40
1378,66144,48
1379,49644,36
1380,132480,96
1380,154560,112
1381,11048,8
1381,16572,12
1382,24876,18
1383,33192,24
1384,22144,16
1384,49824,36
1385,49860,36
1387,49932,36
1388,27760,20
1388,33312,24
1389,33336,24
1390,66720,48
1391,50076,36
1392,116928,84
1393,50148,36
1394,55760,40
1394,66912,48
1395,133920,96
1396,27920,20
1396,33504,24
1397,50292,36
1398,55920,40
1399,11192,8
1399,16788,12
1400,70000,50
1400,201600,144
1401,33624,24
1402,25236,18
1403,50508,36
1404,101088,72
1404,157248,112
1404,168480,120
1405,50580,36
1406,56240,40
1406,67488,48
1407,112560,80
1408,67584,48
1409,11272,8
1409,16908,12
1410,90240,64
1411,50796,36
1412,28240,20
1412,33888,24
1414,56560,40
1414,67872,48
1415,50940,36
1416,67968,48
1416,79296,56
1417,51012,36
1418,25524,18
1419,113520,80
1420,45440,32
1420,85200,60
1420,102240,72
