m,x,q
506,24288,48
507,18252,36
508,10160,20
508,12192,24
509,4072,8
509,6108,12
510,32640,64
511,18396,36
512,11264,22
512,18432,36
513,18468,36
513,30780,60
513,41040,80
514,9252,18
515,18540,36
516,16512,32
516,30960,60
517,18612,36
518,20720,40
518,24864,48
519,12456,24
520,29120,56
520,46800,90
521,4168,8
521,6252,12
522,25056,48
523,4184,8
523,6276,12
524,10480,20
524,12576,24
525,42000,80
526,9468,18
527,18972,36
528,44352,84
529,4761,9
529,9522,18
529,12696,24
530,25440,48
532,17024,32
532,38304,72
533,19188,36
534,21360,40
535,19260,36
536,8576,16
536,19296,36
537,12888,24
538,9684,18
539,38808,72
540,38880,72
540,60480,112
541,4328,8
541,6492,12
542,9756,18
543,13032,24
545,19620,36
546,34944,64
546,65520,120
547,4376,8
547,6564,12
548,10960,20
548,13152,24
550,22000,40
551,19836,36
552,26496,48
552,30912,56
553,19908,36
554,9972,18
556,11120,20
556,13344,24
557,4456,8
557,6684,12
558,26784,48
559,20124,36
560,47040,84
561,44880,80
562,10116,18
563,4504,8
563,6756,12
564,18048,32
564,33840,60
565,20340,36
566,10188,18
568,9088,16
568,20448,36
569,4552,8
569,6828,12
570,36480,64
571,4568,8
571,6852,12
572,18304,32
572,41184,72
573,13752,24
574,22960,40
574,27552,48
575,41400,72
577,4616,8
577,6924,12
578,20808,36
579,13896,24
580,18560,32
580,34800,60
580,41760,72
581,20916,36
582,23280,40
583,20988,36
584,9344,16
584,21024,36
585,56160,96
586,10548,18
587,4696,8
587,7044,12
588,42336,72
589,21204,36
590,28320,48
591,14184,24
592,16576,28
593,4744,8
593,7116,12
594,38016,64
595,57120,96
596,11920,20
596,14304,24
597,14328,24
598,23920,40
598,28704,48
599,4792,8
599,7188,12
600,30000,50
601,4808,8
601,7212,12
602,24080,40
602,28896,48
604,12080,20
604,14496,24
605,43560,72
606,24240,40
607,4856,8
607,7284,12
609,48720,80
610,29280,48
611,21996,36
613,4904,8
613,7356,12
614,11052,18
617,4936,8
617,7404,12
618,24720,40
619,4952,8
619,7428,12
620,19840,32
620,37200,60
620,44640,72
621,22356,36
621,37260,60
621,49680,80
622,11196,18
623,22428,36
624,52416,84
626,11268,18
627,50160,80
628,12560,20
628,15072,24
629,22644,36
630,56700,90
630,75600,120
631,5048,8
631,7572,12
632,10112,16
632,22752,36
633,15192,24
634,11412,18
635,22860,36
636,20352,32
636,38160,60
637,45864,72
638,25520,40
638,30624,48
640,30720,48
640,38400,60
641,5128,8
641,7692,12
642,25680,40
643,5144,8
643,7716,12
644,20608,32
644,46368,72
646,25840,40
646,31008,48
647,5176,8
647,7764,12
648,31104,48
648,51840,80
649,23364,36
650,26000,40
651,52080,80
652,13040,20
652,15648,24
653,5224,8
653,7836,12
654,26160,40
655,23580,36
656,18368,28
658,26320,40
658,31584,48
659,5272,8
659,7908,12
660,63360,96
660,73920,112
661,5288,8
661,7932,12
